sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach,group4_reach,group5_reach
beta,0.0,robust_kempe,1,452.8666666666667,0.8028571428571428,0.34287903500000994,14,70,0.8638383838383838,0.8620437956204381,0.8303797468354432,0.8904761904761903,0.8470085470085471,0.8028571428571428
beta,0.0,mf_bwi_fair,1,430.0,0.7128571428571431,5.158415968999975,,,0.852929292929293,0.8058394160583942,0.8084388185654011,0.8214285714285711,0.7846153846153847,0.7128571428571431
beta,0.0,repeated_greedy,1,442.3666666666667,0.703174603174603,146.42499507600007,,,0.8767676767676768,0.8493917274939172,0.7928270042194093,0.703174603174603,0.8017094017094017,0.8271428571428572
beta,0.1,kkt_greedy,1,427.1333333333333,0.6641025641025642,0.291154860000006,20,100,0.8349494949494949,0.8279805352798053,0.8502109704641352,0.7579365079365078,0.6641025641025642,0.7290476190476192
beta,0.1,fair_greedy,1,431.9,0.7856447688564479,0.2960745100000395,20,100,0.8086868686868686,0.7856447688564479,0.827848101265823,0.8087301587301586,0.8692307692307694,0.8223809523809523
beta,0.1,imm,1,441.2,0.8085714285714284,0.2722345919999043,20,100,0.8331313131313132,0.8272506082725061,0.8248945147679324,0.8428571428571426,0.8521367521367523,0.8085714285714284
beta,0.1,robust_kempe,1,421.4,0.7214285714285713,0.2672694429999183,14,70,0.8232323232323231,0.8097323600973234,0.7388185654008438,0.8579365079365077,0.7623931623931626,0.7214285714285713
beta,0.1,mf_bwi_fair,1,417.1666666666667,0.7681265206812653,4.650552413000014,,,0.8000000000000003,0.7681265206812653,0.7717299578059074,0.7793650793650791,0.8196581196581197,0.7752380952380951
beta,0.1,repeated_greedy,1,431.2,0.7666666666666664,148.20529789900002,,,0.8250505050505051,0.8236009732360098,0.8080168776371308,0.7666666666666664,0.8188034188034189,0.775238095238095
beta,0.2,kkt_greedy,1,406.0,0.6238095238095238,0.29990237099991646,20,100,0.8147474747474747,0.7493917274939174,0.8046413502109704,0.6238095238095238,0.7034188034188037,0.7385714285714285
beta,0.2,fair_greedy,1,419.8333333333333,0.7357142857142858,0.29310158599992064,20,100,0.7951515151515152,0.7878345498783456,0.7953586497890296,0.7357142857142858,0.8213675213675216,0.7847619047619047
