sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach,group3_reach,group4_reach,group5_reach
q,0.0,kkt_greedy,0,436.96666666666664,0.776190476190476,0.9118811670000007,20,100,0.8290909090909092,0.8447688564476885,0.8008438818565401,0.776190476190476,0.8085470085470088,0.8147619047619046
q,0.0,fair_greedy,0,421.7,0.7842424242424244,0.3666804859999999,20,100,0.7842424242424244,0.7873479318734792,0.788607594936709,0.8325396825396826,0.8111111111111112,0.7933333333333332
q,0.0,imm,0,443.53333333333336,0.8128205128205129,0.4010649550000025,20,100,0.8478787878787879,0.8294403892944039,0.8232067510548524,0.8373015873015871,0.8128205128205129,0.8299999999999997
q,0.0,robust_kempe,0,418.93333333333334,0.6352380952380948,0.5017879589999978,13,65,0.8010101010101011,0.811192214111922,0.828691983122363,0.8214285714285713,0.8000000000000002,0.6352380952380948
q,0.0,mf_bwi_fair,0,437.76666666666665,0.8000000000000003,5.057208921000001,,,0.8448484848484848,0.8172749391727494,0.8000000000000003,0.8238095238095237,0.8256410256410258,0.8057142857142856
q,0.0,repeated_greedy,0,451.0,0.7706349206349206,186.621817105,,,0.8581818181818182,0.8625304136253041,0.8459915611814347,0.7706349206349206,0.8632478632478634,0.8338095238095238
q,0.05,kkt_greedy,0,426.46666666666664,0.7865079365079364,0.8806919760000014,20,100,0.7888888888888886,0.8335766423357663,0.7953586497890296,0.7865079365079364,0.7965811965811967,0.7880952380952381
q,0.05,fair_greedy,0,420.5,0.7721518987341772,0.34575532599999903,20,100,0.7862626262626264,0.7800486618004867,0.7721518987341772,0.8444444444444443,0.8350427350427353,0.7838095238095236
q,0.05,imm,0,435.7,0.7933333333333333,0.37155951100000095,20,100,0.8262626262626264,0.8265206812652066,0.8223628691983123,0.8246031746031746,0.794871794871795,0.7933333333333333
q,0.05,robust_kempe,0,414.8,0.7393162393162395,0.34482987600000214,13,65,0.7834343434343432,0.7987834549878343,0.7983122362869198,0.7642857142857142,0.7393162393162395,0.7442857142857142
