sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,n_seeds,round0_cost,group0_reach,group1_reach,group2_reach
q,0.0,kkt_greedy,0,78.36666666666666,0.5083333333333333,0.014886345999968853,20,100,0.5083333333333333,0.5216666666666667,0.7888888888888889
q,0.0,fair_greedy,0,81.83333333333333,0.5583333333333332,0.01321798500003979,20,100,0.5583333333333332,0.6708333333333331,0.7305555555555556
q,0.0,imm,0,84.46666666666667,0.4366666666666666,0.014006499999993594,20,100,0.4366666666666666,0.73,0.7755555555555556
q,0.0,robust_kempe,0,83.63333333333334,0.49166666666666664,0.014291899999989255,15,75,0.49166666666666664,0.6358333333333334,0.8061111111111111
q,0.0,mf_bwi_fair,0,109.83333333333333,0.89,0.2001246849999916,,,0.99,0.9158333333333333,0.89
q,0.0,repeated_greedy,0,109.03333333333333,0.8966666666666666,7.643926191999981,,,0.8966666666666666,0.9066666666666666,0.9138888888888889
q,0.05,kkt_greedy,0,65.6,0.3875000000000001,0.012838905000023715,20,100,0.4166666666666668,0.3875000000000001,0.6961111111111112
q,0.05,fair_greedy,0,68.3,0.4616666666666667,0.012210048999975243,20,100,0.4616666666666667,0.5075,0.6461111111111111
q,0.05,imm,0,69.46666666666667,0.43833333333333335,0.012035265000008621,20,100,0.43833333333333335,0.5391666666666668,0.6522222222222225
q,0.05,robust_kempe,0,66.73333333333333,0.38333333333333325,0.011636936000002152,15,75,0.5366666666666666,0.38333333333333325,0.6777777777777778
q,0.05,mf_bwi_fair,0,107.03333333333333,0.8716666666666665,0.18605766400003176,,,0.8716666666666665,0.9125,0.8849999999999999
q,0.05,repeated_greedy,0,108.4,0.8866666666666667,7.641374492000011,,,0.94,0.8866666666666667,0.9022222222222221
q,0.1,kkt_greedy,0,56.86666666666667,0.33666666666666667,0.010950776000015594,20,100,0.33666666666666667,0.3716666666666667,0.5877777777777776
q,0.1,fair_greedy,0,59.46666666666667,0.39499999999999985,0.010701638000000457,20,100,0.39499999999999985,0.4358333333333333,0.5688888888888889
q,0.1,imm,0,63.03333333333333,0.38333333333333336,0.012415986000007706,20,100,0.38333333333333336,0.4799999999999999,0.6027777777777777
q,0.1,robust_kempe,0,65.63333333333334,0.4583333333333332,0.011895420000030299,15,75,0.4583333333333332,0.48416666666666675,0.6183333333333333
q,0.1,mf_bwi_fair,0,106.86666666666666,0.8783333333333331,0.20342365400000517,,,0.8783333333333331,0.9125,0.8799999999999998
q,0.1,repeated_greedy,0,101.23333333333333,0.8083333333333333,7.354005713999982,,,0.8083333333333333,0.8633333333333335,0.8422222222222224
q,0.2,kkt_greedy,0,37.7,0.1866666666666667,0.009043622000035612,20,100,0.1866666666666667,0.19083333333333338,0.4388888888888889
q,0.2,fair_greedy,0,39.8,0.2283333333333334,0.00932147100002112,20,100,0.2283333333333334,0.24000000000000002,0.42722222222222234
q,0.2,imm,0,41.93333333333333,0.24333333333333332,0.009441059000039331,20,100,0.24333333333333332,0.2625,0.4427777777777777
q,0.2,robust_kempe,0,38.3,0.14333333333333328,0.01205286200001865,15,75,0.14333333333333328,0.17750000000000005,0.47222222222222227
q,0.2,mf_bwi_fair,0,104.4,0.8233333333333335,0.17296626799998194,,,0.8233333333333335,0.8925,0.8705555555555552
q,0.2,repeated_greedy,0,93.86666666666666,0.7633333333333334,6.491593149000039,,,0.7633333333333334,0.765,0.7999999999999999
