sweep,param,algorithm,trial,time_avg_spread,min_group_reach,runtime_s,group0_reach,group1_reach,group2_reach
beta,0.0,kkt_greedy,0,72.46666666666667,0.3516666666666667,0.026566487999957644,0.3516666666666667,0.4816666666666666,0.7694444444444444
beta,0.0,fair_greedy,0,73.66666666666667,0.49666666666666676,0.03791558300008546,0.49666666666666676,0.5675,0.6838888888888889
beta,0.0,imm,0,76.1,0.47999999999999987,0.019403498000087893,0.47999999999999987,0.5991666666666667,0.7088888888888891
beta,0.0,mf_bwi_fair,0,106.26666666666667,0.8000000000000004,0.23238439400006428,0.8000000000000004,0.8925,0.9094444444444444
beta,0.0,repeated_greedy,0,105.46666666666667,0.8516666666666666,9.177173431000028,0.8516666666666666,0.8816666666666666,0.8861111111111112
beta,0.1,kkt_greedy,0,72.1,0.49249999999999994,0.016635428999961732,0.5016666666666668,0.49249999999999994,0.7061111111111112
beta,0.1,fair_greedy,0,73.83333333333333,0.5025000000000001,0.016055489999985184,0.5100000000000001,0.5025000000000001,0.7255555555555556
beta,0.1,imm,0,71.36666666666666,0.43333333333333346,0.01519272699999874,0.43333333333333346,0.5516666666666666,0.6772222222222222
beta,0.1,mf_bwi_fair,0,106.1,0.7516666666666666,0.21833015400000022,0.7516666666666666,0.8691666666666666,0.9383333333333332
beta,0.1,repeated_greedy,0,103.2,0.8566666666666666,8.813128414999937,0.8616666666666666,0.864166666666667,0.8566666666666666
beta,0.2,kkt_greedy,0,69.13333333333334,0.385,0.015296591000037552,0.385,0.5575,0.6522222222222224
beta,0.2,fair_greedy,0,59.9,0.4216666666666666,0.013652666999973917,0.4216666666666666,0.4516666666666666,0.5566666666666668
beta,0.2,imm,0,64.73333333333333,0.3883333333333333,0.014661014000012074,0.3883333333333333,0.5291666666666668,0.5966666666666668
beta,0.2,mf_bwi_fair,0,104.23333333333333,0.7516666666666668,0.2149761309999576,0.7516666666666668,0.875,0.9033333333333334
beta,0.2,repeated_greedy,0,100.66666666666667,0.8161111111111111,8.394640035999942,0.853333333333333,0.8658333333333332,0.8161111111111111
beta,0.3,kkt_greedy,0,55.8,0.245,0.013324264000061703,0.245,0.41750000000000004,0.57
beta,0.3,fair_greedy,0,57.7,0.3733333333333333,0.012923000000000684,0.3733333333333333,0.5158333333333334,0.4933333333333333
beta,0.3,imm,0,62.86666666666667,0.4166666666666667,0.013719529999889346,0.4316666666666666,0.4166666666666667,0.6261111111111111
beta,0.3,mf_bwi_fair,0,105.36666666666666,0.7383333333333336,0.21573864899994533,0.7383333333333336,0.8916666666666667,0.9155555555555556
beta,0.3,repeated_greedy,0,101.36666666666666,0.8224999999999999,8.407365260000006,0.8616666666666665,0.8224999999999999,0.8538888888888889
beta,0.5,kkt_greedy,0,55.0,0.385,0.015172003999964545,0.385,0.4058333333333333,0.5177777777777779
beta,0.5,fair_greedy,0,61.53333333333333,0.48166666666666663,0.014247185000044738,0.5083333333333333,0.48166666666666663,0.535
beta,0.5,imm,0,64.56666666666666,0.4166666666666667,0.014434514999948078,0.4166666666666667,0.45916666666666667,0.631111111111111
beta,0.5,mf_bwi_fair,0,100.5,0.5800000000000001,0.21728070300002855,0.5800000000000001,0.8800000000000002,0.895
beta,0.5,repeated_greedy,0,98.9,0.8050000000000002,7.941325640999935,0.8050000000000002,0.8099999999999999,0.8400000000000001
beta,0.7,kkt_greedy,0,48.8,0.28333333333333327,0.012046605000023192,0.28333333333333327,0.35583333333333333,0.48166666666666663
beta,0.7,fair_greedy,0,55.0,0.2833333333333333,0.012279535999937252,0.2833333333333333,0.4425,0.5272222222222224
beta,0.7,imm,0,50.86666666666667,0.19333333333333338,0.011759442000084164,0.19333333333333338,0.35749999999999993,0.5450000000000002
beta,0.7,mf_bwi_fair,0,99.8,0.55,0.2117101870001079,0.55,0.8641666666666669,0.9038888888888889
beta,0.7,repeated_greedy,0,95.03333333333333,0.7741666666666666,7.465036435000002,0.8166666666666665,0.7741666666666666,0.7955555555555556
beta,0.0,kkt_greedy,1,76.06666666666666,0.47000000000000003,0.016965744000003724,0.47000000000000003,0.5716666666666668,0.7299999999999999
beta,0.0,fair_greedy,1,76.4,0.48333333333333334,0.016879202000041005,0.48333333333333334,0.5983333333333333,0.7133333333333333
beta,0.0,imm,1,80.53333333333333,0.3516666666666666,0.01760996299992712,0.3516666666666666,0.7,0.7583333333333334
beta,0.0,mf_bwi_fair,1,103.56666666666666,0.7216666666666666,0.21079089499994552,0.7216666666666666,0.8858333333333334,0.895
beta,0.0,repeated_greedy,1,106.03333333333333,0.8716666666666667,9.164749553999968,0.8849999999999999,0.8716666666666667,0.8911111111111111
beta,0.1,kkt_greedy,1,71.66666666666667,0.47333333333333333,0.016387911000038002,0.47333333333333333,0.51,0.6966666666666669
beta,0.1,fair_greedy,1,65.06666666666666,0.42999999999999994,0.014937494000037077,0.46833333333333343,0.42999999999999994,0.6416666666666667
beta,0.1,imm,1,75.83333333333333,0.5241666666666667,0.01607663100003265,0.5533333333333335,0.5241666666666667,0.7300000000000002
beta,0.1,mf_bwi_fair,1,103.1,0.6799999999999999,0.21356319699998494,0.6799999999999999,0.8691666666666666,0.9122222222222223
beta,0.1,repeated_greedy,1,104.2,0.8366666666666666,8.91719501700004,0.8366666666666666,0.8533333333333333,0.8888888888888886
beta,0.2,kkt_greedy,1,66.9,0.42999999999999994,0.01518850200000088,0.42999999999999994,0.46166666666666667,0.6638888888888891
beta,0.2,fair_greedy,1,68.03333333333333,0.4716666666666668,0.014636383000038222,0.4716666666666668,0.5075000000000001,0.6383333333333333
beta,0.2,imm,1,63.833333333333336,0.38666666666666655,0.014839144000006854,0.38666666666666655,0.5125,0.5933333333333334
beta,0.2,mf_bwi_fair,1,103.53333333333333,0.6749999999999997,0.2166275689999111,0.6749999999999997,0.8724999999999999,0.9188888888888889
beta,0.2,repeated_greedy,1,101.26666666666667,0.8433333333333334,8.597898622000002,0.8466666666666666,0.8433333333333335,0.8433333333333334
beta,0.3,kkt_greedy,1,62.7,0.3783333333333333,0.01452930400000696,0.3783333333333333,0.4333333333333334,0.63
beta,0.3,fair_greedy,1,56.53333333333333,0.38000000000000006,0.012719591999939439,0.3966666666666668,0.38000000000000006,0.5566666666666666
beta,0.3,imm,1,65.03333333333333,0.435,0.014280436000035479,0.45,0.435,0.643888888888889
beta,0.3,mf_bwi_fair,1,101.06666666666666,0.5983333333333332,0.21075290200008112,0.5983333333333332,0.8675,0.9066666666666666
beta,0.3,repeated_greedy,1,99.16666666666667,0.8244444444444444,8.320148008999922,0.8333333333333333,0.8258333333333333,0.8244444444444444
beta,0.5,kkt_greedy,1,53.3,0.225,0.012814183999921624,0.225,0.4708333333333332,0.49944444444444447
beta,0.5,fair_greedy,1,53.266666666666666,0.3383333333333333,0.01289866600006917,0.4016666666666666,0.3383333333333333,0.5283333333333333
beta,0.5,imm,1,57.53333333333333,0.2849999999999999,0.013080689999924289,0.2849999999999999,0.42916666666666675,0.5777777777777777
beta,0.5,mf_bwi_fair,1,101.43333333333334,0.6133333333333333,0.2264350389999663,0.6133333333333333,0.8558333333333334,0.9155555555555556
beta,0.5,repeated_greedy,1,97.03333333333333,0.8033333333333331,8.005573105999929,0.8116666666666666,0.8033333333333331,0.811111111111111
beta,0.7,kkt_greedy,1,50.733333333333334,0.26499999999999996,0.012138125999967997,0.26499999999999996,0.38250000000000006,0.5022222222222222
beta,0.7,fair_greedy,1,54.8,0.325,0.01223854800002755,0.325,0.4558333333333334,0.5011111111111112
beta,0.7,imm,1,49.266666666666666,0.2716666666666666,0.011359814999991613,0.35166666666666674,0.2716666666666666,0.5227777777777777
beta,0.7,mf_bwi_fair,1,101.73333333333333,0.6866666666666666,0.22392617699995299,0.6866666666666666,0.8524999999999999,0.8983333333333333
beta,0.7,repeated_greedy,1,92.7,0.7475,7.379742430999954,0.7716666666666668,0.7475,0.7894444444444446
beta,0.0,kkt_greedy,2,74.76666666666667,0.45166666666666677,0.017397146000007524,0.45166666666666677,0.5225000000000001,0.7472222222222222
beta,0.0,fair_greedy,2,76.6,0.5116666666666667,0.016807263000032435,0.5116666666666667,0.5700000000000001,0.7261111111111113
beta,0.0,imm,2,73.7,0.3683333333333334,0.01708649299996523,0.3683333333333334,0.4749999999999998,0.7888888888888891
beta,0.0,mf_bwi_fair,2,104.8,0.7283333333333333,0.21159861599994656,0.7283333333333333,0.8591666666666666,0.9311111111111111
beta,0.0,repeated_greedy,2,105.4,0.855,9.258452359999978,0.855,0.8675000000000002,0.8933333333333333
beta,0.1,kkt_greedy,2,74.6,0.52,0.016875659999982418,0.5266666666666668,0.52,0.7211111111111113
beta,0.1,fair_greedy,2,74.3,0.4983333333333334,0.016274585999894953,0.4983333333333334,0.5766666666666665,0.6877777777777777
beta,0.1,imm,2,69.96666666666667,0.44833333333333336,0.015649530000018785,0.47166666666666673,0.44833333333333336,0.7100000000000002
beta,0.1,mf_bwi_fair,2,104.46666666666667,0.7116666666666666,0.22744104399998832,0.7116666666666666,0.88,0.9172222222222222
beta,0.1,repeated_greedy,2,104.7,0.8616666666666667,8.909708668000007,0.8733333333333333,0.8616666666666667,0.8794444444444441
beta,0.2,kkt_greedy,2,69.26666666666667,0.48500000000000004,0.01558826300004057,0.48500000000000004,0.5650000000000001,0.6161111111111112
beta,0.2,fair_greedy,2,65.2,0.4791666666666667,0.013878259999955844,0.5033333333333333,0.4791666666666667,0.5994444444444444
beta,0.2,imm,2,68.56666666666666,0.4016666666666666,0.016060725999977876,0.4016666666666666,0.4716666666666668,0.6944444444444445
beta,0.2,mf_bwi_fair,2,103.1,0.6416666666666668,0.2152081280000857,0.6416666666666668,0.8641666666666666,0.9283333333333331
beta,0.2,repeated_greedy,2,100.16666666666667,0.8311111111111112,8.330109496999967,0.8366666666666667,0.8391666666666668,0.8311111111111112
beta,0.3,kkt_greedy,2,60.333333333333336,0.3466666666666667,0.014004127000021072,0.3466666666666667,0.4208333333333333,0.6094444444444443
beta,0.3,fair_greedy,2,70.5,0.5566666666666669,0.014997868000023118,0.5566666666666669,0.5658333333333334,0.6122222222222222
beta,0.3,imm,2,69.13333333333334,0.47500000000000014,0.015098067000053561,0.47500000000000014,0.5391666666666667,0.6344444444444443
beta,0.3,mf_bwi_fair,2,103.26666666666667,0.7100000000000001,0.21075139699996726,0.7100000000000001,0.8616666666666665,0.91
beta,0.3,repeated_greedy,2,102.6,0.8483333333333333,8.389080081999964,0.8749999999999998,0.855,0.8483333333333333
beta,0.5,kkt_greedy,2,56.1,0.3625,0.013255609999987428,0.37499999999999994,0.3625,0.5683333333333332
beta,0.5,fair_greedy,2,57.3,0.31666666666666665,0.014345850999916365,0.31666666666666665,0.4416666666666666,0.5549999999999999
beta,0.5,imm,2,64.66666666666667,0.35500000000000004,0.014086717000054705,0.35500000000000004,0.5266666666666666,0.6083333333333333
beta,0.5,mf_bwi_fair,2,102.16666666666667,0.6633333333333333,0.2231697060000215,0.6633333333333333,0.8591666666666666,0.9088888888888889
beta,0.5,repeated_greedy,2,96.83333333333333,0.7955555555555556,7.737523759999931,0.8066666666666669,0.8241666666666668,0.7955555555555556
beta,0.7,kkt_greedy,2,53.06666666666667,0.35,0.014348125999958938,0.35,0.3533333333333334,0.5322222222222222
beta,0.7,fair_greedy,2,48.6,0.3283333333333333,0.011382000000025982,0.33833333333333343,0.3283333333333333,0.47833333333333333
beta,0.7,imm,2,58.0,0.3650000000000001,0.013342054000077042,0.3650000000000001,0.3925,0.5833333333333335
beta,0.7,mf_bwi_fair,2,101.46666666666667,0.5883333333333332,0.21828523900001073,0.5883333333333332,0.8633333333333334,0.9194444444444444
beta,0.7,repeated_greedy,2,90.66666666666667,0.7422222222222222,7.2878254060000245,0.7949999999999999,0.7558333333333334,0.7422222222222222
beta,0.0,kkt_greedy,3,76.1,0.4583333333333333,0.01718870299998798,0.4583333333333333,0.4900000000000001,0.788888888888889
beta,0.0,fair_greedy,3,79.5,0.5216666666666667,0.017309899999986555,0.5216666666666667,0.5766666666666665,0.7666666666666668
beta,0.0,imm,3,77.06666666666666,0.44000000000000006,0.01698924499999066,0.44000000000000006,0.5899999999999999,0.7444444444444444
beta,0.0,mf_bwi_fair,3,103.5,0.7100000000000002,0.20683195800006615,0.7100000000000002,0.8658333333333332,0.9111111111111111
beta,0.0,repeated_greedy,3,106.36666666666666,0.8583333333333331,9.305752890999997,0.8583333333333331,0.8858333333333335,0.8961111111111109
beta,0.1,kkt_greedy,3,66.4,0.4241666666666666,0.015569352999932562,0.42833333333333334,0.4241666666666666,0.6811111111111112
beta,0.1,fair_greedy,3,72.2,0.4566666666666667,0.015873877999979413,0.4566666666666667,0.5183333333333334,0.7055555555555555
beta,0.1,imm,3,76.8,0.30166666666666664,0.016616997000028277,0.30166666666666664,0.6741666666666668,0.7300000000000001
beta,0.1,mf_bwi_fair,3,106.76666666666667,0.7766666666666666,0.21839971400004288,0.7766666666666666,0.9,0.9205555555555556
beta,0.1,repeated_greedy,3,106.36666666666666,0.8708333333333336,9.148922411000058,0.8783333333333333,0.8708333333333336,0.8994444444444446
beta,0.2,kkt_greedy,3,67.03333333333333,0.3841666666666667,0.017890545999989627,0.47,0.3841666666666667,0.7044444444444443
beta,0.2,fair_greedy,3,69.5,0.3949999999999999,0.01737055200010218,0.3949999999999999,0.4733333333333334,0.711111111111111
beta,0.2,imm,3,69.26666666666667,0.315,0.015415770999993583,0.315,0.5325,0.6944444444444445
beta,0.2,mf_bwi_fair,3,101.8,0.6649999999999999,0.2256385829999772,0.6649999999999999,0.85,0.9083333333333333
beta,0.2,repeated_greedy,3,102.06666666666666,0.8433333333333333,8.518517984999903,0.8499999999999995,0.8433333333333333,0.8555555555555555
beta,0.3,kkt_greedy,3,61.0,0.36500000000000005,0.014096977000008337,0.36500000000000005,0.40166666666666656,0.6272222222222222
beta,0.3,fair_greedy,3,61.266666666666666,0.38833333333333336,0.01421136099997966,0.38833333333333336,0.3983333333333335,0.6261111111111112
beta,0.3,imm,3,63.833333333333336,0.24500000000000002,0.013816755999982888,0.24500000000000002,0.515,0.6388888888888887
beta,0.3,mf_bwi_fair,3,104.96666666666667,0.73,0.21627487899991138,0.73,0.8674999999999999,0.9277777777777777
beta,0.3,repeated_greedy,3,99.86666666666666,0.8033333333333332,8.584076125000024,0.8033333333333332,0.8308333333333334,0.8427777777777777
beta,0.5,kkt_greedy,3,52.766666666666666,0.25166666666666665,0.013068576000023313,0.4283333333333334,0.25166666666666665,0.5688888888888889
beta,0.5,fair_greedy,3,60.53333333333333,0.38083333333333336,0.014348409999911382,0.4483333333333333,0.38083333333333336,0.6055555555555556
beta,0.5,imm,3,58.43333333333333,0.2699999999999999,0.0128160190000699,0.2699999999999999,0.49166666666666675,0.5561111111111111
beta,0.5,mf_bwi_fair,3,101.06666666666666,0.645,0.20925209000006362,0.645,0.8733333333333335,0.8872222222222222
beta,0.5,repeated_greedy,3,100.1,0.8083333333333333,8.075097275999951,0.8883333333333331,0.8083333333333333,0.8333333333333334
beta,0.7,kkt_greedy,3,52.8,0.34750000000000003,0.012531983000030777,0.38999999999999996,0.34750000000000003,0.5183333333333333
beta,0.7,fair_greedy,3,53.06666666666667,0.31083333333333335,0.012035948999937318,0.34666666666666673,0.31083333333333335,0.5616666666666668
beta,0.7,imm,3,54.766666666666666,0.2416666666666667,0.012086425000006784,0.2416666666666667,0.49,0.5055555555555555
beta,0.7,mf_bwi_fair,3,103.4,0.6683333333333332,0.21071231799999168,0.6683333333333332,0.8816666666666665,0.9127777777777778
beta,0.7,repeated_greedy,3,95.66666666666667,0.7850000000000001,7.444298627999956,0.8383333333333332,0.7850000000000001,0.7916666666666666
beta,0.0,kkt_greedy,4,70.4,0.3933333333333334,0.01625908400001208,0.3933333333333334,0.5283333333333334,0.6899999999999998
beta,0.0,fair_greedy,4,73.43333333333334,0.4916666666666668,0.016230175000032432,0.4916666666666668,0.4941666666666667,0.7305555555555555
beta,0.0,imm,4,77.26666666666667,0.4733333333333333,0.016620708000004925,0.573333333333333,0.4733333333333333,0.7811111111111112
beta,0.0,mf_bwi_fair,4,102.9,0.7250000000000001,0.20046650699998736,0.7250000000000001,0.8566666666666667,0.9022222222222221
beta,0.0,repeated_greedy,4,104.7,0.8516666666666663,9.143474476999927,0.8516666666666663,0.8583333333333335,0.8888888888888885
beta,0.1,kkt_greedy,4,67.13333333333334,0.2716666666666666,0.03042373299990686,0.2716666666666666,0.48500000000000004,0.7050000000000002
beta,0.1,fair_greedy,4,72.93333333333334,0.4783333333333332,0.03098959900000864,0.4783333333333332,0.6016666666666668,0.6549999999999999
beta,0.1,imm,4,70.96666666666667,0.4583333333333333,0.03106114299998808,0.4583333333333333,0.4616666666666667,0.7222222222222221
beta,0.1,mf_bwi_fair,4,104.66666666666667,0.7933333333333332,0.20985164599994732,0.7933333333333332,0.8666666666666667,0.9022222222222223
